_id,origin,destination,ip,user,restore_time,restore_seconds,date
0,192.168.196.105\Noticias\CADENA PERPETUA MOCHOMO_DF004ENF.gxf,192.168.196.139\RECUP DATA\CADENA PERPETUA MOCHOMO_DF004ENF,192.168.48.93,media manager,0.0,00:00:00,2017-04-12T11:12:37
1,192.168.196.105\Noticias\CADENA PERPETUA MOCHOMO_DF004ENF.gxf,192.168.196.139\RECUP DATA\CADENA PERPETUA MOCHOMO_DF004ENF,192.168.48.93,media manager,00:00:00,0.0,2017-04-12T12:51:55
